Displayname,Alertname,TimeRaised,TimeStopped
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,21/09/2017 22:55,21/09/2017 23:25
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,22/09/2017 00:55,22/09/2017 01:00
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,22/09/2017 03:00,22/09/2017 03:05
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,22/09/2017 05:00,22/09/2017 05:05
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,22/09/2017 07:05,22/09/2017 07:25
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,22/09/2017 17:10,22/09/2017 17:15
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,22/09/2017 19:10,22/09/2017 19:30
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,22/09/2017 21:10,22/09/2017 21:30
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,22/09/2017 23:15,22/09/2017 23:20
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,23/09/2017 07:20,23/09/2017 07:35
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,23/09/2017 09:20,23/09/2017 09:55
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,23/09/2017 11:20,23/09/2017 11:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,23/09/2017 13:20,23/09/2017 13:40
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,23/09/2017 15:20,23/09/2017 15:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,23/09/2017 17:25,23/09/2017 17:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,23/09/2017 19:25,23/09/2017 19:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,23/09/2017 21:25,23/09/2017 21:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,24/09/2017 03:45,24/09/2017 04:00
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,24/09/2017 07:30,24/09/2017 07:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,24/09/2017 09:35,24/09/2017 09:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,24/09/2017 11:35,24/09/2017 11:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,24/09/2017 13:35,24/09/2017 13:55
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,24/09/2017 15:40,24/09/2017 16:00
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,24/09/2017 17:40,24/09/2017 17:55
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,24/09/2017 19:40,24/09/2017 19:55
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,24/09/2017 21:40,24/09/2017 22:00
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,25/09/2017 00:40,25/09/2017 00:55
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,25/09/2017 01:45,25/09/2017 01:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,25/09/2017 03:45,25/09/2017 04:10
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,25/09/2017 05:50,25/09/2017 06:10
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,25/09/2017 09:40,25/09/2017 09:55
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,25/09/2017 13:50,25/09/2017 15:45
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,26/09/2017 08:25,26/09/2017 08:40
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,26/09/2017 09:45,26/09/2017 10:35
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,26/09/2017 12:00,26/09/2017 12:25
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,26/09/2017 18:20,27/09/2017 03:05
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,27/09/2017 03:55,27/09/2017 04:10
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,27/09/2017 04:45,27/09/2017 05:05
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,27/09/2017 06:05,27/09/2017 07:50
